state,decade,n_districts,n_simulations,enacted_egap,sim_egap_mean,sim_egap_std,egap_zscore,egap_pct,enacted_edem,sim_edem_mean,enacted_pbias,max_bvap,sim_max_bvap_mean,bvap_zscore,bvap_pct
CT,2010,5,5000,-0.2314,-0.22297948,0.03314193809272035,-0.25407445926795574,27.66,4.429,4.403195600000001,-0.07143,0.12947367095937662,0.1351753301683846,-0.33749578919120676,47.22
CT,2020,5,5000,-0.2291,-0.2263166,0.03604268385472828,-0.07722510374695223,44.18,4.429,4.4163072,-0.04286,0.14404733959996777,0.1479714083722229,-0.20346830548515688,45.28
FL,2010,27,5000,0.125991,0.0703849084,0.019926751028969163,2.790524733267396,99.96000000000001,10.33,11.708482,0.1111111111111111,0.5041632328284407,0.41701770345638145,5.361675039478689,100.0
FL,2020,28,5000,0.15865518,0.060379330923999996,0.024420358532308548,4.024340959039541,100.0,9.5,12.3559878,0.1428571428571428,0.4690857169145523,0.32499421155219876,6.5448747508017275,100.0
GA,2010,14,5000,0.093107,0.0843138232,0.04500658611404636,0.19537533412816852,50.0,5.143,5.0460074,0.1020408163265306,0.5569892192142868,0.5321403802475853,0.8681460947209998,84.98
GA,2020,14,5000,0.1124883,0.11660191479999998,0.04128271869580481,-0.09964495871290603,40.5,5.0,4.7682174,0.1428571428571428,0.639058475585619,0.5724449389033858,2.1322276406363687,96.26
HI,2010,2,5000,-0.1179,-0.1179,0.0,,0.0,2.0,2.0,0.0,0.01798115447395756,0.020347307749448932,-0.742223474830393,36.88
HI,2020,2,5000,-0.1179,-0.1179,0.0,,0.0,2.0,2.0,0.0,0.018811998912895773,0.021202628385594693,-1.397419633823813,6.84
IA,2010,4,5000,0.270291,0.0735223994,0.06797608517781162,2.8946739148818788,98.94,0.5,1.2529231400000003,-0.25,0.03253140137433818,0.033898743933782095,-1.3374472249894362,1.96
IA,2020,4,5000,0.27081,0.071155998,0.0727132293120543,2.7457727278645514,99.96000000000001,0.5,1.29927922,-0.25,0.0437501456008573,0.051747749349775246,-2.310945059338255,4.88
ID,2010,2,30000,0.1883,0.18829999999999994,5.551207644024196e-17,0.9999833331944422,0.0,0.0,0.0,0.0,0.006219082513992496,0.005808092880831653,0.9879267995058808,88.44333333333333
ID,2020,2,5000,0.1884,0.18840000000000004,2.775835158959351e-17,-0.9998999949995,0.0,0.0,0.0,0.0,0.009347434170990933,0.008434098765727717,1.461423998443352,90.12
IL,2010,18,5000,0.0251933,0.01612470804,0.017120586111198925,0.5296893401370205,70.54,12.43,12.363698000000001,0.0,0.5347498444008235,0.6242136118809022,-1.0471032993094984,19.64
IL,2020,17,5000,-0.1257933,0.01499693452,0.016917516302809216,-8.32215746094013,0.0,14.29,11.853017999999999,0.063025,0.5007113742334184,0.5907973807340235,-1.0495662451942132,16.2
IN,2010,9,5000,0.11682,0.12265551000000001,0.020322989840156604,-0.2871383613285834,31.319999999999997,2.1111,1.93371698,0.191358,0.26726361407481275,0.22373212446897342,1.1436637593411,83.16
IN,2020,9,5000,0.12077,0.11867106800000002,0.02336787852606089,0.08982124747264336,44.66,2.0,1.9934116000000002,0.277778,0.313031100076116,0.22968013364437143,2.1187093179371863,99.68
KS,2010,4,5000,0.059699,0.061833349999999995,0.044225767577568,-0.04826032688424313,59.34,1.0,1.03661106,0.0,0.08378644771720303,0.0876734879560608,-0.6834791829826773,31.900000000000002
KS,2020,4,5000,0.19311,0.134620794,0.024145012540806084,2.4224135688954727,99.64,0.5714,0.8090692999999999,0.07143,0.08426507860165255,0.07964147292613068,1.7350436588719798,95.64
KY,2010,6,5000,0.00594292,0.058191798952,0.048386129785528226,-1.079831744832526,14.799999999999999,1.5,1.2035,0.16667,0.19131705250763725,0.18445628376250217,0.5851049737524837,74.88
KY,2020,6,5000,0.052167,0.0719051692,0.02334869364253028,-0.8453650342152926,19.74,1.25,1.13635,0.1666666666666667,0.20375391138608312,0.19294573410906465,1.0020776734112409,94.92
LA,2010,6,5000,0.13743,0.13244021399999997,0.01909472203977212,0.2613175509759645,87.98,1.0,1.015,0.33333,0.5850885093249485,0.38430167306124624,17.496692030205885,100.0
LA,2020,6,5000,0.13755,0.141782466,0.00817348101712064,-0.517829060975908,1.2,1.0,1.0018,0.33333,0.5635862427583817,0.3865022007807058,11.051745614392374,100.0
MA,2010,9,5000,-0.13464,-0.126874054,0.008977870247220061,-0.8650098281833234,41.699999999999996,7.667,7.571075200000001,0.2592592592592593,0.20609552313256016,0.1672614556858885,1.640549764129354,98.82
MA,2020,9,5000,-0.1341,-0.12972947999999998,0.008351361564295702,-0.5233302338010553,60.040000000000006,7.667,7.600701000000001,0.2407407407407407,0.1911565886155509,0.15356011937666902,2.204332007633634,99.96000000000001
MD,2010,8,5000,-0.02281508,0.032366966418,0.05855061244893352,-0.942467450124941,23.96,6.167,5.731631,-0.125,0.5380058853447649,0.5905369138202664,-1.2526412470313197,5.16
MD,2020,8,5000,-0.040756316,0.057129517271200005,0.0606283846950103,-1.6145215440525498,11.1,6.333,5.564667200000001,0.10417,0.5683435085045961,0.5940439904626842,-0.6054118004911305,29.720000000000002
ME,2010,2,5000,-0.0195664,-0.0830413597,0.04071662637152893,1.5589444744465573,80.28,0.8,0.9625199999999999,0.0,0.010202809879900295,0.012240998534421586,-1.7272662200282547,16.400000000000002
ME,2020,2,5000,-0.00644773,-0.07127576543400001,0.03876444034450891,1.6723583484724054,79.92,0.8,0.95624,0.0,0.018202327663384064,0.022413896620549507,-2.1219143351126357,9.36
MI,2010,14,5000,0.1238395,0.071628662016,0.04097223528770982,1.2742980122361387,89.58,6.143,6.827038000000001,0.1530612244897958,0.5679272052192484,0.5428184328648852,0.5513106803298059,73.34
MI,2020,13,5000,0.00158478,0.06836921594,0.038107055243563066,-1.7525478028450137,3.3000000000000003,7.143,6.3339504,0.11538,0.446989494568454,0.4709719127263294,-0.5545203351038734,27.74
MN,2010,8,5000,0.018822791,0.021624134194600002,0.04364125517781895,-0.06419025262187718,46.56,4.429,4.4267064,0.10714,0.1293268055725284,0.11952044103119917,0.7289932692060185,78.36
MN,2020,8,5000,0.029347129,0.027777268651199994,0.04388295704115321,0.035773805017920705,54.02,4.429,4.4555138,0.125,0.1454239946621859,0.13605150466433982,0.6670947729730888,76.03999999999999
MO,2010,8,5000,0.08981,0.09817448479999999,0.03196140657227377,-0.2617057788456689,47.160000000000004,2.2,2.0819,0.1375,0.4549328191632577,0.4423901156612237,0.697170944231481,98.9
MO,2020,8,5000,0.11175,0.102784472,0.022188182347555957,0.4040677086371412,74.38,2.0,2.01698,0.175,0.4332966001922349,0.4307437723124729,0.2918752719885049,53.04
MS,2010,4,5000,0.10256,0.09299159400000001,0.005474004320771474,1.7479719487418075,99.24,1.0,0.99965,0.25,0.6113532861000139,0.5670685316111896,3.3128281424523887,100.0
MS,2020,4,5000,0.0769,0.075966136,0.004988357257768356,0.1872087245847696,71.36,1.0,0.9995,0.25,0.6073734776678098,0.5616662565064263,3.7095660368961774,100.0
MT,2020,2,5000,0.2557,0.21100945999999998,0.04175030900686646,1.0704241732115078,89.1,0.2,0.28978000000000004,0.0,0.005598158040860091,0.005212807528149425,0.7984611516279252,63.36000000000001
NC,2010,13,5000,0.20246561,0.047079627728,0.04475181383924067,3.472171716440008,100.0,3.9,5.6803799999999995,0.1923076923076922,0.35378688498540756,0.3465918553307198,0.27517677064459306,62.0
NC,2020,14,5000,0.00499081,0.050211426606,0.03955157830423926,-1.1433327959292363,13.600000000000001,6.9,6.28074,0.0,0.3961115836026535,0.35686493877964376,3.847277192809681,100.0
NE,2010,3,5000,0.0715,0.138568944,0.039046601578931764,-1.717664054947823,1.92,0.5,0.32792129999999997,-0.1666666666666666,0.09238145263134366,0.09015036595833242,1.6332502616761524,91.78
NE,2020,3,5000,0.08398,0.082680774,0.04407387967577689,0.029478366995544035,22.36,0.5,0.5099669400000001,-0.1666666666666666,0.09243075556761624,0.09236159940714551,0.04607672986241212,69.94
NH,2010,2,5000,-0.02201,0.006766026,0.03665243542947599,-0.7851054278608247,38.66,1.0,0.9412109399999999,0.0,0.009980660647819706,0.0120312218818143,-4.364638929653816,1.16
NH,2020,2,5000,-0.02499,0.0062433459999999994,0.038619406633686536,-0.8087474335443595,42.26,1.0,0.93981052,0.0,0.013073806738752103,0.016303010930669302,-3.331668990405522,0.0
NJ,2010,12,5000,0.04405001,-0.054710553518000006,0.03813185194355524,2.589975531851706,99.82,7.75,8.7821,0.0833333333333332,0.5009886600157899,0.3522311756637201,2.8276238118338948,100.0
NJ,2020,12,5000,-0.12074977,-0.0573638549582,0.02853658591468576,-2.221215783531406,2.58,9.5,8.86685,0.0,0.48011282262113775,0.3460243229508131,2.408576377785898,100.0
NM,2010,3,5000,-0.11461,-0.13244214999999998,0.03608107296967246,0.4942244931293643,90.32,2.25,2.30225,-0.1666666666666666,0.024008155798620374,0.02453395403595527,-0.7093880235497279,17.72
NM,2020,3,5000,-0.33338,-0.129236952,0.03467843236197266,-5.886743837471074,0.0,3.0,2.28435,-0.1249999999999999,0.02430241743226991,0.025614274540075213,-1.1610446261253033,9.78
NV,2010,4,5000,-0.0118289,-0.03653787572,0.12749249701412424,0.19380729296770005,49.54,2.429,2.4776462,0.14286,0.13223280380121133,0.12540457502645208,0.46981198324401957,63.519999999999996
NV,2020,4,5000,-0.17542119,-0.083293762972,0.09540906287880914,-0.9656045688764646,19.2,3.0,2.649025,-0.25,0.15622236892795258,0.1460508754170863,0.8436992467540395,78.53999999999999
NY,2010,27,5000,-0.016623901,-0.0267085978626,0.013441985513050689,0.7502386349701737,75.4,22.33,22.596244,0.08642,0.5129325477455583,0.5299830091061669,-0.19669828765895508,41.120000000000005
NY,2020,26,5000,-0.03177127,-0.025488531402,0.013322786363262305,-0.4715784241143955,30.320000000000004,22.0,21.868004,0.07692,0.42360247828677555,0.46373514666988586,-0.5548402513674829,37.26
OH,2010,16,5000,0.1722369,0.033014158822000005,0.028486984868428003,4.887240324696487,100.0,4.571,6.3441852,0.205357,0.508785227916672,0.3463598277020618,2.7496570870737784,100.0
OH,2020,15,5000,0.110256,0.051640295600000004,0.025863505114844462,2.2663480506498437,98.32,4.857,5.748794999999999,0.119048,0.4178552680794502,0.4169173830492013,0.12396184419091306,43.64
OK,2010,5,10000,0.14708,0.14687872500000002,0.012051292075476549,0.016701528660943512,81.78999999999999,0.1667,0.16358062,0.0,0.1301092494541095,0.1285823427923125,0.10277344966442221,35.260000000000005
OK,2020,5,5000,0.18089,0.144319968,0.017689324741236908,2.067350367238658,96.5,0.0,0.18959404000000002,-0.0666666666666666,0.11384398448909705,0.1335060376493282,-1.1605967966114648,18.54
OR,2010,5,5000,-0.0630726,-0.012905792880000001,0.053102464946287564,-0.9447171081557714,13.139999999999999,3.4,3.14118,0.0999999999999999,0.0463856719187501,0.04626725146280446,0.031696776744175856,15.72
OR,2020,6,5000,-0.081963853,-0.016692100036400002,0.04317634003152942,-1.5117481684629928,7.380000000000001,4.2,3.7979,0.11667,0.051009400253643714,0.04965122222827401,0.34299759689565945,64.36
PA,2010,18,5000,0.103001,0.0727350938,0.01881340015070236,1.6087419582616,96.06,7.857,8.2724482,0.150794,0.5599539754511806,0.4632555637532163,1.8333423323463414,93.62
PA,2020,17,5000,-0.006518,0.064274398,0.017556869287598868,-4.032176627868589,0.04,9.286,8.092082399999999,0.029412,0.4812628601844717,0.42511282975129344,0.9699521742254903,82.22
RI,2010,2,5000,-0.25609,-0.25447918199999997,0.013830491585275414,-0.11646860056044327,0.0,2.0,1.9970302,0.0,0.057151546855801164,0.06615874503644638,-1.4506675099895172,5.66
RI,2020,2,5000,-0.25606,-0.255268502,0.01059119145154447,-0.07473172434104008,0.0,2.0,1.9985328000000002,0.0,0.05857316256962327,0.06875742011428694,-1.2905690271456722,14.82
SC,2010,7,5000,0.2374955,0.11014484417999998,0.04890571738465796,2.604003430076475,100.0,1.0,1.7748894,0.21429,0.540844501701694,0.4112605501361908,4.711416179144342,100.0
SC,2020,7,5000,0.222455,0.11515207740000001,0.039157595278364654,2.740283764546874,99.92,1.0,1.70992846,0.17347,0.4503268874965745,0.37590150529041483,1.8369122287582542,98.7
TN,2010,9,5000,0.07845,0.079856394,0.025212589155165034,-0.055781419010347,74.08,2.0,1.899,0.27778,0.6100976537974867,0.5686089711714143,1.4994570071934028,100.0
TN,2020,9,5000,0.13907,0.043144853999999996,0.033679393078889,2.8481851135294964,100.0,1.0,1.8542618,0.16667,0.5766593224539402,0.5413422248380104,2.009354450865254,100.0
TX,2010,36,5000,0.113267,0.03066907892,0.022269155714245495,3.7090728602325247,99.9,13.83,15.570294,0.0509259259259259,0.44330075423210197,0.347660088330289,2.097318100053082,99.1
TX,2020,38,5000,0.12142089,0.004261268366,0.023999610788480005,4.881730069149184,100.0,13.67,17.146162,0.1271929824561403,0.4009750762101762,0.3309259515942823,1.8504246311318162,97.82
UT,2010,4,5000,0.1606067,0.046002997,0.06776346289315419,1.691231500088787,93.47999999999999,0.0,0.472575,0.0,0.01042553329037847,0.013618931100710841,-2.016197043990732,2.02
UT,2020,4,5000,0.1606978,0.05700304040000001,0.08549111586783334,1.2129302389772165,89.94,0.0,0.39745,-0.03125,0.013985895922918871,0.016789806777971813,-1.1985459142890522,18.64
VA,2010,11,5000,-0.0064613,-0.02169896764,0.0500170165917171,0.3046496708186986,65.4,6.75,6.88235,0.1363636363636363,0.5360154167444862,0.3765084467911547,6.498044741518954,100.0
VA,2020,11,5000,0.013767343,-0.0433567204872,0.047917211853231084,1.192140804481054,89.66,6.75,7.2404,0.0454545454545454,0.42125076451599186,0.3714719062269134,1.917570163295406,98.7
WA,2010,10,5000,-0.002261724,-0.0113132430178,0.020072825720617946,0.45093397131937774,70.6,6.1,6.18172,0.11,0.10185956845327296,0.08269130516881572,1.957524610630068,94.64
WA,2020,10,5000,0.01343847,-0.013851343645999999,0.018360164455630004,1.48635997852578,93.67999999999999,6.0,6.245979999999999,0.08,0.11276273260166907,0.10255663493958896,0.8871579256740046,80.67999999999999
WI,2010,8,5000,0.205295,0.17730881600000004,0.04240994759635019,0.6598966890119069,77.68,2.571,2.7619756,0.16071,0.30425174089130586,0.2580437004649963,0.9303641322724522,87.1
WI,2020,8,5000,0.1702367,0.17602013546,0.04314969983988449,-0.13403188159965415,31.319999999999997,2.857,2.7970802000000003,0.17857,0.29169243565818936,0.258099020330216,0.8828860388027908,97.64
WV,2010,3,5000,0.09451,0.10096861200000001,0.01831645208540277,-0.35261261132264715,69.08,0.6,0.5757599999999999,-0.0333333333333332,0.041244444444444445,0.04175014958871359,-0.09394819748066605,43.94
WV,2020,2,5000,0.104,0.104,0.0,,0.0,0.0,0.0,0.0,0.04057528343593943,0.039902850157166096,0.4435041609537022,85.42
