state,district,blackvap_share,nominate_dim1,party_code
CT,1,0.14404733959996777,-0.396,100
CT,2,0.03692316050573253,-0.337,100
CT,3,0.1276223084400781,-0.414,100
CT,4,0.11389983821807488,-0.241,100
CT,5,0.06542524386555922,-0.339,100
FL,1,0.12144518762562578,0.593,200
FL,2,0.21882012470970208,0.508,200
FL,3,0.14543713929994423,0.591,200
FL,4,0.2960480737625473,0.434,200
FL,5,0.10975386246216794,-0.26,100
FL,6,0.09849248737245832,0.452,200
FL,7,0.08504733894156077,-0.161,100
FL,8,0.08245157359188113,0.533,200
FL,9,0.09131184970758367,-0.343,100
FL,10,0.22723061135704725,-0.322,100
FL,11,0.10989717121933694,0.524,200
FL,12,0.040690304817719444,0.423,200
FL,13,0.058800025398910015,-0.227,100
FL,14,0.16630555830331187,-0.437,100
FL,15,0.13251836373486234,0.624,200
FL,16,0.09808818974436705,0.361,200
FL,17,0.04685028973145582,0.69,200
FL,18,0.11693952216255421,0.461,200
FL,19,0.04938649784721159,0.638,200
FL,20,0.4690857169145523,-0.43,100
FL,20,0.4690857169145523,-0.564,100
FL,21,0.110138794076979,-0.396,100
FL,22,0.14222319312937906,-0.401,100
FL,23,0.11399566585022408,-0.413,100
FL,24,0.3784701573777097,-0.476,100
FL,25,0.14825675582799597,0.281,200
FL,26,0.045674856031890525,0.332,200
FL,27,0.04787133696367282,0.274,200
GA,1,0.26442598892103053,0.559,200
GA,2,0.4753432443654829,-0.289,100
GA,3,0.22024038338330643,0.585,200
GA,4,0.5176391544607304,-0.478,100
GA,5,0.471120547162605,-0.447,100
GA,6,0.08588065062844397,-0.371,100
GA,7,0.2738086390260303,-0.303,100
GA,8,0.2888405343423139,0.539,200
GA,9,0.09377576291960367,0.828,200
GA,10,0.2134962483978772,0.797,200
GA,11,0.1627844118054362,0.679,200
GA,12,0.35062692164372744,0.69,200
GA,13,0.639058475585619,-0.305,100
GA,14,0.13008469294479377,0.8,200
HI,1,0.018811998912895773,-0.205,100
HI,2,0.012313442703879686,-0.353,100
IA,1,0.03936274462243007,0.356,200
IA,2,0.040278601355095214,0.335,200
IA,3,0.0437501456008573,-0.25,100
IA,4,0.0184200274809011,0.467,200
ID,1,0.0051309156077745,0.648,200
ID,2,0.009347434170990933,0.296,200
IL,1,0.5007113742334184,-0.479,100
IL,2,0.4683094565801098,-0.473,100
IL,3,0.046443090120599675,-0.588,100
IL,4,0.05018461173042256,-0.432,100
IL,5,0.025203406965739774,-0.325,100
IL,6,0.052185691789811924,-0.634,100
IL,7,0.40994284327689684,-0.487,100
IL,8,0.03978132065508101,-0.347,100
IL,9,0.08424031058761598,-0.602,100
IL,10,0.06153669856185183,-0.197,100
IL,11,0.05798141237398847,-0.238,100
IL,12,0.04959723684366166,0.401,200
IL,13,0.1870448563419409,0.279,200
IL,14,0.09152319994326341,-0.594,100
IL,15,0.029260470285347943,0.791,200
IL,16,0.02190226354151535,0.234,200
IL,17,0.12624027125699525,-0.239,100
IN,1,0.17601745411498312,-0.305,100
IN,2,0.06171550133440343,0.436,200
IN,2,0.06171550133440343,0.516,200
IN,3,0.056742042436789195,0.648,200
IN,4,0.03438506986387188,0.446,200
IN,5,0.056987956216463964,0.49,200
IN,6,0.036706866674835026,0.5,200
IN,7,0.313031100076116,-0.435,100
IN,8,0.03944019052109707,0.38,200
